en,fr,es,it
:[align=center]:\s[i]Cette Pokeball contient \c[2]Bulbizarre\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Bulbizarre\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Bulbizarre\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Bulbizarre\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r]
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
:[align=center]:\s[i]Cette Pokeball contient \c[2]Salamèche\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Salamèche\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Salamèche\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Salamèche\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r]
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
:[align=center]:\s[i]Cette Pokeball contient \c[2]Carapuce\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Carapuce\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Carapuce\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r],:[align=center]:\s[i]Cette Pokeball contient \c[2]Carapuce\c[0]. Veux-tu choisir ce \c[2]Pokémon\c[0] ?\s[r]
"\t[11,27]","\t[11,27]","\t[11,27]","\t[11,27]"
"\t[11,28]","\t[11,28]","\t[11,28]","\t[11,28]"
:[align=center]:REÇU : \c[5]BULBIZARRE\c[0],:[align=center]:REÇU : \c[5]BULBIZARRE\c[0],:[align=center]:REÇU : \c[5]BULBIZARRE\c[0],:[align=center]:REÇU : \c[5]BULBIZARRE\c[0]
:[align=center]:REÇU : \c[5]SALAMECHE\c[0],:[align=center]:REÇU : \c[5]SALAMECHE\c[0],:[align=center]:REÇU : \c[5]SALAMECHE\c[0],:[align=center]:REÇU : \c[5]SALAMECHE\c[0]
:[align=center]:REÇU : \c[5]CARAPUCE\c[0],:[align=center]:REÇU : \c[5]CARAPUCE\c[0],:[align=center]:REÇU : \c[5]CARAPUCE\c[0],:[align=center]:REÇU : \c[5]CARAPUCE\c[0]
Tu as choisi \c[2]Bulbizarre\c[0] !,Tu as choisi \c[2]Bulbizarre\c[0] !,Tu as choisi \c[2]Bulbizarre\c[0] !,Tu as choisi \c[2]Bulbizarre\c[0] !
Tu as choisi \c[2]Salamèche\c[0] !,Tu as choisi \c[2]Salamèche\c[0] !,Tu as choisi \c[2]Salamèche\c[0] !,Tu as choisi \c[2]Salamèche\c[0] !
Tu as choisi \c[2]Carapuce\c[0] !,Tu as choisi \c[2]Carapuce\c[0] !,Tu as choisi \c[2]Carapuce\c[0] !,Tu as choisi \c[2]Carapuce\c[0] !
Pile à l'heure pour le thé.,Pile à l'heure pour le thé.,Pile à l'heure pour le thé.,Pile à l'heure pour le thé.
Je te souhaite bonne chance pour la suite de la collecte !,Je te souhaite bonne chance pour la suite de la collecte !,Je te souhaite bonne chance pour la suite de la collecte !,Je te souhaite bonne chance pour la suite de la collecte !
"Tu sais, avant d'être collectionneur, je voulais être dresseur. \nlJe suis arrivé jusqu'à la première arène et je me suis pris une déroute[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlJe ne suis pas très combatif[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] ","Tu sais, avant d'être collectionneur, je voulais être dresseur. \nlJe suis arrivé jusqu'à la première arène et je me suis pris une déroute[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlJe ne suis pas très combatif[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] ","Tu sais, avant d'être collectionneur, je voulais être dresseur. \nlJe suis arrivé jusqu'à la première arène et je me suis pris une déroute[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlJe ne suis pas très combatif[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] ","Tu sais, avant d'être collectionneur, je voulais être dresseur. \nlJe suis arrivé jusqu'à la première arène et je me suis pris une déroute[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]\nlJe ne suis pas très combatif[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10] "
"j'ai abandonné mon rêve de récolter les badges et d'arriver jusqu'à la ligue \c[2]Pokémon\c[0] pour prouver ma valeur.\nlMais à travers toi, je sens que je vais pouvoir réaliser mon rêve ! ","j'ai abandonné mon rêve de récolter les badges et d'arriver jusqu'à la ligue \c[2]Pokémon\c[0] pour prouver ma valeur.\nlMais à travers toi, je sens que je vais pouvoir réaliser mon rêve ! ","j'ai abandonné mon rêve de récolter les badges et d'arriver jusqu'à la ligue \c[2]Pokémon\c[0] pour prouver ma valeur.\nlMais à travers toi, je sens que je vais pouvoir réaliser mon rêve ! ","j'ai abandonné mon rêve de récolter les badges et d'arriver jusqu'à la ligue \c[2]Pokémon\c[0] pour prouver ma valeur.\nlMais à travers toi, je sens que je vais pouvoir réaliser mon rêve ! "
"J'aimerais te proposer un marché : je t'ai vu te battre et je sens que  tu peux aller loin, très loin.\nlJ'aimerais que tu me ramènes un badge de chaque arène de Bombance afin que je puisse en faire une copie, je suis collectionneur après tout !\nlBien sûr, en échange, je te récompenserai avec l'un de mes précieux \c[2]Pokémon\c[0]. \nlA chaque badge que tu me montreras, un \c[2]Pokémon\c[0] sera à toi.","J'aimerais te proposer un marché : je t'ai vu te battre et je sens que  tu peux aller loin, très loin.\nlJ'aimerais que tu me ramènes un badge de chaque arène de Bombance afin que je puisse en faire une copie, je suis collectionneur après tout !\nlBien sûr, en échange, je te récompenserai avec l'un de mes précieux \c[2]Pokémon\c[0]. \nlA chaque badge que tu me montreras, un \c[2]Pokémon\c[0] sera à toi.","J'aimerais te proposer un marché : je t'ai vu te battre et je sens que  tu peux aller loin, très loin.\nlJ'aimerais que tu me ramènes un badge de chaque arène de Bombance afin que je puisse en faire une copie, je suis collectionneur après tout !\nlBien sûr, en échange, je te récompenserai avec l'un de mes précieux \c[2]Pokémon\c[0]. \nlA chaque badge que tu me montreras, un \c[2]Pokémon\c[0] sera à toi.","J'aimerais te proposer un marché : je t'ai vu te battre et je sens que  tu peux aller loin, très loin.\nlJ'aimerais que tu me ramènes un badge de chaque arène de Bombance afin que je puisse en faire une copie, je suis collectionneur après tout !\nlBien sûr, en échange, je te récompenserai avec l'un de mes précieux \c[2]Pokémon\c[0]. \nlA chaque badge que tu me montreras, un \c[2]Pokémon\c[0] sera à toi."
"Pour la porte, tu auras juste à scanner un badge et elle s'ouvrira toute seule.\nlJe compte sur toi !","Pour la porte, tu auras juste à scanner un badge et elle s'ouvrira toute seule.\nlJe compte sur toi !","Pour la porte, tu auras juste à scanner un badge et elle s'ouvrira toute seule.\nlJe compte sur toi !","Pour la porte, tu auras juste à scanner un badge et elle s'ouvrira toute seule.\nlJe compte sur toi !"
:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r],:[align=center]:\s[i]On voit qu'on a les moyens de se payer une femme de ménage ici !\s[r]
